,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0031514,CC,GO:0031514,motile cilium,28/2761,68/8025,0.146562529,0.445062331,0.366542134,ANXA1/CALM2/CALM3/CCDC181/CCDC34/CFAP206/CFAP58/DEFB1/DEFB1/DLD/DNAI2/DYNLT4/IFT46/IFT52/IFT74/IQUB/MNS1/NHERF1/NME5/NPHP1/PAFAH1B1/PRKAR1A/RAP1A/RSPH9/SEPTIN7/SPAG6/SPATA6/TEKT1,28
GO:0000152,CC,GO:0000152,nuclear ubiquitin ligase complex,8/2761,16/8025,0.146903214,0.445062331,0.366542134,ANAPC10/ANAPC13/ANAPC16/ANAPC5/BMI1/BRCA1/CBX7/CDC20,8
GO:0000407,CC,GO:0000407,phagophore assembly site,8/2761,16/8025,0.146903214,0.445062331,0.366542134,ATG12/ATG2A/ATG2B/ATG5/ATG9A/ATG9B/BECN1/PIK3C3,8
GO:0016328,CC,GO:0016328,lateral plasma membrane,8/2761,16/8025,0.146903214,0.445062331,0.366542134,ANXA1/EPCAM/FZD3/LIN7C/SLC12A2/SLC6A13/TACSTD2/TSHR,8
GO:0072686,CC,GO:0072686,mitotic spindle,17/2761,39/8025,0.149024391,0.448168941,0.36910066,ATAT1/EML4/HAUS1/HAUS2/KIF11/KIF18A/KIF18B/KIF22/KNSTRN/LSM14A/MAD2L1/NEDD9/PKD2/SKA1/SMC6/SPOUT1/WDR62,17
GO:0001726,CC,GO:0001726,ruffle,18/2761,42/8025,0.160146134,0.478100501,0.393751539,AIF1L/APPL1/APPL2/BMX/HIP1R/ITGB1/ITGB7/ITGB8/KIF18A/KNSTRN/LIMA1/MTM1/MYO6/PLEKHA1/PSD3/RAB5A/RASA1/ROCK1,18
GO:0005881,CC,GO:0005881,cytoplasmic microtubule,9/2761,19/8025,0.170560895,0.486594963,0.400747364,BICD1/BIRC5/CEP162/KIF18A/KIF18B/PAFAH1B1/PIERCE2/REEP3/SERP1,9
GO:0043679,CC,GO:0043679,axon terminus,9/2761,19/8025,0.170560895,0.486594963,0.400747364,ACTB/GHRH/NTS/PNOC/PRSS12/RAB5A/SCGN/SLC18A2/TPBG,9
GO:0070062,CC,GO:0070062,extracellular exosome,9/2761,19/8025,0.170560895,0.486594963,0.400747364,ANXA1/APOE/CD47/CD86/PLAA/RAB11A/SCNN1B/SCNN1G/XPNPEP2,9
GO:0016323,CC,GO:0016323,basolateral plasma membrane,25/2761,61/8025,0.170574203,0.486594963,0.400747364,ANXA1/ATP1A1/ATP2B1/ATP7A/CLDN19/CNNM2/FLOT1/IDE/KCNJ4/LIN7C/MARVELD2/MTTP/SLC16A12/SLC22A2/SLC22A6/SLC22A7/SLC39A8/SLC40A1/SLC4A4/SLC51A/SLC5A3/SLC6A13/SLC7A7/STX2/TSHR,25
GO:0014069,CC,GO:0014069,postsynaptic density,19/2761,45/8025,0.170703346,0.486594963,0.400747364,ABHD17B/ADAM10/ADD3/BAALC/BMPR2/CACNG7/CAMK2N1/CPEB4/DLG3/DNAJC6/DTNBP1/EIF3A/FMR1/KCND3/LIN7C/MAP1B/RGS14/SRCIN1/SYN1,19
GO:0043209,CC,GO:0043209,myelin sheath,7/2761,14/8025,0.170757855,0.486594963,0.400747364,CALM2/CALM3/GPM6B/HSP90AA1/MARVELD2/MBP/PALS1,7
GO:0098984,CC,GO:0098984,neuron to neuron synapse,22/2761,53/8025,0.171319498,0.486594963,0.400747364,ABHD17B/ADAM10/ADD3/BAALC/BMPR2/CACNG7/CAMK2N1/CPEB4/DLG3/DNAJC6/DTNBP1/EFNB3/EIF3A/FMR1/GPER1/KCND3/LIN7C/MAP1B/RGS14/RNF19A/SRCIN1/SYN1,22
GO:0031252,CC,GO:0031252,cell leading edge,36/2761,91/8025,0.175729366,0.495678005,0.408227929,ACTA1/ACTB/AIF1L/APPL1/APPL2/ATP6AP2/BMX/CAPRIN1/CARMIL1/DDX3X/DPP4/DUOXA2/FLOT1/GDPD2/HDAC6/HIP1R/ITGB1/ITGB7/ITGB8/KDF1/KIF18A/KNSTRN/LIMA1/MTM1/MYO6/PAFAH1B1/PKD2/PLEKHA1/PSD3/RAB5A/RASA1/ROCK1/SHTN1/SLK/SNX2/STX2,36
GO:0098802,CC,GO:0098802,plasma membrane signaling receptor complex,20/2761,48/8025,0.180736422,0.506309565,0.416983814,CACNG7/DLG3/GP9/IGF1R/IL18RAP/IL6R/ITGA2B/ITGA4/ITGAV/ITGB1/ITGB5/ITGB6/JAK2/PORCN/PTPN6/RAMP1/TGFBR1/TLR6/TRAF5/TRAF6,20
GO:0005774,CC,GO:0005774,vacuolar membrane,38/2761,97/8025,0.186794551,0.519720895,0.428029047,AP5M1/ATP6AP2/ATP6V0A1/ATP6V0A2/ATP6V1A/ATP6V1G2/AZU1/BORCS7/CHMP2B/CLN3/CLN5/DEPDC5/HPS4/LAMP2/MEAK7/MIOS/MTMR2/MTOR/NPRL2/SH3GLB1/SLA-DMB/SLC17A5/SLC38A9/SLC39A8/SLC46A3/STING1/STX17/TASL/TM4SF5/TM6SF1/TMEM106B/TMEM138/TMEM192/TMEM63A/TRIM23/VPS11/VPS33A/VPS41,38
GO:0005770,CC,GO:0005770,late endosome,31/2761,78/8025,0.189334801,0.523229282,0.430918467,AP5M1/APOE/ATP7A/CHMP2B/CHMP4C/DENND10/IFNAR1/MAPK1/MTM1/PIK3C3/PRKAR1A/RAB11A/RAB27A/RAB9A/RHOB/RNF128/RUBCN/SIGLEC1/SLA-DMB/SLC30A4/SLC38A9/SNX16/TMEM192/VPS11/VPS33A/VPS36/VPS41/WDR48/WDR91/YIPF1/ZP2,31
GO:0005788,CC,GO:0005788,endoplasmic reticulum lumen,10/2761,22/8025,0.191265529,0.525017458,0.432391163,CALR3/ERLEC1/ERP29/FOXRED2/HSP90B1/HSPA5/MZB1/P4HA1/SLC27A2/TOR4A,10
GO:0005657,CC,GO:0005657,replication fork,8/2761,17/8025,0.197394866,0.525399569,0.43270586,BCL6/CDC5L/CHEK1/DONSON/RAD18/RFC1/RFC3/RFC4,8
GO:0035869,CC,GO:0035869,ciliary transition zone,8/2761,17/8025,0.197394866,0.525399569,0.43270586,CFAP36/GNAT1/IFT52/LCA5/TMEM107/TMEM17/TMEM80/TOPORS,8
GO:0097225,CC,GO:0097225,sperm midpiece,8/2761,17/8025,0.197394866,0.525399569,0.43270586,CALM2/CALM3/CCDC34/CFAP58/DEFB1/DEFB1/NHERF1/RAP1A,8
GO:0005891,CC,GO:0005891,voltage-gated calcium channel complex,6/2761,12/8025,0.199705849,0.525399569,0.43270586,CACNB1/CACNG4/CACNG6/CACNG7/CATSPER2/TMEM262,6
GO:0030286,CC,GO:0030286,dynein complex,6/2761,12/8025,0.199705849,0.525399569,0.43270586,DNAI2/DNAI3/DYNC1I2/DYNC2I2/DYNC2LI1/DYNLT4,6
GO:0071782,CC,GO:0071782,endoplasmic reticulum tubular network,6/2761,12/8025,0.199705849,0.525399569,0.43270586,ATL2/KPNB1/LNPK/PARP8/RAB18/REEP3,6
GO:0032279,CC,GO:0032279,asymmetric synapse,19/2761,46/8025,0.201320128,0.525399569,0.43270586,ABHD17B/ADAM10/ADD3/BAALC/BMPR2/CACNG7/CAMK2N1/CPEB4/DLG3/DNAJC6/DTNBP1/EIF3A/FMR1/KCND3/LIN7C/MAP1B/RGS14/SRCIN1/SYN1,19
GO:0034708,CC,GO:0034708,methyltransferase complex,16/2761,38/8025,0.201681497,0.525399569,0.43270586,CBX5/CHD8/CXXC1/DYDC1/DYDC2/HCFC2/HDAC2/METTL14/MTF2/PAGR1/RBBP7/RBM15/SUZ12/TAF9/TRMT10C/TRMT6,16
GO:0008287,CC,GO:0008287,protein serine/threonine phosphatase complex,9/2761,20/8025,0.219954583,0.55034405,0.453249507,PPP1CB/PPP1R10/PPP2R2A/PPP2R5A/PPP2R5D/PPP3CB/PPP4R3A/PPP4R3B/SHOC2,9
GO:0032587,CC,GO:0032587,ruffle membrane,9/2761,20/8025,0.219954583,0.55034405,0.453249507,AIF1L/BMX/HIP1R/ITGB1/ITGB7/ITGB8/MYO6/PLEKHA1/PSD3,9
GO:0043197,CC,GO:0043197,dendritic spine,9/2761,20/8025,0.219954583,0.55034405,0.453249507,ADORA1/APP/ATP6AP2/DRD1/DTNBP1/FMR1/FXR1/PALMD/RGS14,9
GO:0044309,CC,GO:0044309,neuron spine,9/2761,20/8025,0.219954583,0.55034405,0.453249507,ADORA1/APP/ATP6AP2/DRD1/DTNBP1/FMR1/FXR1/PALMD/RGS14,9
GO:1903293,CC,GO:1903293,phosphatase complex,9/2761,20/8025,0.219954583,0.55034405,0.453249507,PPP1CB/PPP1R10/PPP2R2A/PPP2R5A/PPP2R5D/PPP3CB/PPP4R3A/PPP4R3B/SHOC2,9
GO:0099572,CC,GO:0099572,postsynaptic specialization,21/2761,52/8025,0.220616229,0.55034405,0.453249507,ABHD17B/ADAM10/ADD3/BAALC/BMPR2/CACNG7/CAMK2N1/CPEB4/DLG3/DNAJC6/DTNBP1/EIF3A/FMR1/KCND3/LIN7C/LRRTM2/MAP1B/RGS14/SLITRK3/SRCIN1/SYN1,21
GO:0005765,CC,GO:0005765,lysosomal membrane,29/2761,74/8025,0.225814839,0.55034405,0.453249507,AP5M1/ATP6AP2/AZU1/BORCS7/CHMP2B/CLN3/CLN5/DEPDC5/HPS4/LAMP2/MEAK7/MIOS/MTOR/NPRL2/SLA-DMB/SLC17A5/SLC38A9/SLC39A8/SLC46A3/TASL/TM4SF5/TM6SF1/TMEM106B/TMEM192/TMEM63A/TRIM23/VPS11/VPS33A/VPS41,29
GO:0098852,CC,GO:0098852,lytic vacuole membrane,29/2761,74/8025,0.225814839,0.55034405,0.453249507,AP5M1/ATP6AP2/AZU1/BORCS7/CHMP2B/CLN3/CLN5/DEPDC5/HPS4/LAMP2/MEAK7/MIOS/MTOR/NPRL2/SLA-DMB/SLC17A5/SLC38A9/SLC39A8/SLC46A3/TASL/TM4SF5/TM6SF1/TMEM106B/TMEM192/TMEM63A/TRIM23/VPS11/VPS33A/VPS41,29
GO:0001650,CC,GO:0001650,fibrillar center,15/2761,36/8025,0.226330265,0.55034405,0.453249507,AFF4/CCR2/CDCA7L/E2F5/FOXA1/GTF3C3/HOXB5/LEO1/NFIB/NUAK1/RPS6KA6/SMUG1/STOX1/TERF1/ZNF174,15
GO:0005834,CC,GO:0005834,heterotrimeric G-protein complex,7/2761,15/8025,0.229498729,0.55034405,0.453249507,GNA13/GNA14/GNAI3/GNAT1/GNB3/GNG12/GNG13,7
GO:0030863,CC,GO:0030863,cortical cytoskeleton,7/2761,15/8025,0.229498729,0.55034405,0.453249507,ACTB/DSTN/EPB42/FLOT1/KRT19/MAPRE1/SPTB,7
GO:0000228,CC,GO:0000228,nuclear chromosome,22/2761,55/8025,0.229523362,0.55034405,0.453249507,ACTL6A/ACTR6/ADD3/BAZ1A/BRMS1L/CDC5L/CHDH/CHEK1/DMC1/HDAC2/HUS1/ING3/INO80/ORC4/POLE2/RAD1/RAD21/SFR1/SMC4/SYN1/TOP2A/UCHL5,22
GO:0099513,CC,GO:0099513,polymeric cytoskeletal fiber,72/2761,194/8025,0.232443408,0.55034405,0.453249507,ABRAXAS2/ACTA1/APC/APC2/ATAT1/AURKB/BICD1/BIRC5/CALM2/CALM3/CAPN6/CARMIL1/CCT2/CEP162/CHMP2B/CSPP1/DST/DYNC2LI1/EML4/FAM110A/GDPD2/GPER1/HAUS1/HAUS2/HDAC6/HOOK2/IFFO1/KATNAL1/KIF11/KIF18A/KIF18B/KIF20A/KIF20B/KIF22/KIF2C/KIF3A/KIFC1/KNSTRN/KRT19/KRT20/KRT3/LMNB1/MAP1B/MAP2/MAP4/MAPRE1/MAPRE2/MDM1/MNS1/MX1/MYO6/NCKAP5L/NRP1/PAFAH1B1/PIERCE2/POF1B/PRPH/RAB11A/REEP3/RHOQ/SERP1/SKA1/SKA2/SLAIN2/SPAST/SYNC/TPM1/TPM4/TUBD1/TUBE1/TUBGCP3/VPS11,72
GO:0030425,CC,GO:0030425,dendrite,43/2761,113/8025,0.233600812,0.55034405,0.453249507,ABHD13/ADAM10/ADORA1/APP/ATP6AP2/BMPR2/CPEB4/DPYSL2/DRD1/DTNBP1/DYRK1A/EPHB3/ERO1A/FMR1/FXR1/FZD3/GAP43/GNB3/GNG13/HDAC6/HTR2B/IFT52/INPP5F/KCND3/KCNE3/MAP1B/MTOR/PALMD/PNOC/PRKAA2/PRSS12/RAB27A/RAB5A/RGS14/RPS6/RUFY3/SCGN/SLC1A1/STRN/SYN1/TPBG/TRIM9/ZWINT,43
GO:0097447,CC,GO:0097447,dendritic tree,43/2761,113/8025,0.233600812,0.55034405,0.453249507,ABHD13/ADAM10/ADORA1/APP/ATP6AP2/BMPR2/CPEB4/DPYSL2/DRD1/DTNBP1/DYRK1A/EPHB3/ERO1A/FMR1/FXR1/FZD3/GAP43/GNB3/GNG13/HDAC6/HTR2B/IFT52/INPP5F/KCND3/KCNE3/MAP1B/MTOR/PALMD/PNOC/PRKAA2/PRSS12/RAB27A/RAB5A/RGS14/RPS6/RUFY3/SCGN/SLC1A1/STRN/SYN1/TPBG/TRIM9/ZWINT,43
GO:0030663,CC,GO:0030663,COPI-coated vesicle membrane,5/2761,10/8025,0.235477283,0.55034405,0.453249507,ARCN1/COPA/COPB1/COPB2/COPG2,5
GO:0035267,CC,GO:0035267,NuA4 histone acetyltransferase complex,5/2761,10/8025,0.235477283,0.55034405,0.453249507,ACTB/ACTL6A/EPC1/ING3/MORF4L1,5
GO:0043189,CC,GO:0043189,H4/H2A histone acetyltransferase complex,5/2761,10/8025,0.235477283,0.55034405,0.453249507,ACTB/ACTL6A/EPC1/ING3/MORF4L1,5
GO:0000794,CC,GO:0000794,condensed nuclear chromosome,8/2761,18/8025,0.253721935,0.583965295,0.480939118,ADD3/CHEK1/DMC1/HUS1/RAD1/RAD21/SMC4/SYN1,8
GO:0005903,CC,GO:0005903,brush border,8/2761,18/8025,0.253721935,0.583965295,0.480939118,ACTB/ADD3/ANKS4B/GNA13/LCTL/LIMA1/NHERF1/PDZK1,8
GO:0140513,CC,GO:0140513,nuclear protein-containing complex,153/2761,425/8025,0.254146265,0.583965295,0.480939118,A1CF/ABRAXAS2/ACTL6A/ACTR6/ADNP/AFF4/ANAPC10/ANAPC13/ANAPC16/ANAPC5/ARFGEF1/BATF2/BAZ1A/BCL7A/BCL9/BMI1/BRCA1/BRCC3/BRMS1L/CBX3/CBX5/CBX7/CCNH/CDC20/CDC40/CDC5L/CDK12/CDK7/CEBPA/CHD8/CHDH/CHMP2B/COPS4/COPS5/CPSF3/CREBZF/CSTF2/CSTF2T/CTNNB1/CWC22/CWF19L1/CXXC1/DBP/DDX21/DR1/DYDC1/DYDC2/E2F5/E2F8/EAF2/ELL3/ELOA/ELP2/FLOT1/GEMIN2/GTF2E2/GTF2H1/GTF2H3/HAVCR2/HCFC2/HDAC10/HDAC2/HDAC6/HNRNPA1/HNRNPK/HSPA1L/HUS1/ICE2/ING3/INO80/INTS14/INTS3/INTS6L/JMJD1C/LEO1/LIG4/LSM2/LSM6/LSM8/MAD2L1/MED1/MED12/MED14/MED16/MED17/MED19/MED4/MED6/MFAP1/MLLT3/MNAT1/MSH2/MTF2/MTREX/MXD3/NFATC2/NFE2L2/NFYB/NUDT21/NUP133/NUP188/NUP214/NUP54/NUP85/NXT2/ORC4/PAGR1/PCF11/PEX2/PNN/POLE2/POLR2M/POT1/POU2AF1/POU2F1/PPIL1/PPWD1/PRPF39/PRPF40A/PTGES3/RAD1/RBBP7/RBM41/RFC3/RFC4/RFX5/RPP30/RPRD1A/RPRD2/RSF1/SFR1/SLU7/SMAD3/SMAD4/SMARCA4/SMU1/SNRNP35/SRSF1/SUPT16H/SUZ12/TAF4B/TAF9/TAF9B/TDRD3/TELO2/TERF1/THOC2/THOC7/TSEN2/UCHL5/UIMC1/UPF3B/UTP18,153
GO:0045121,CC,GO:0045121,membrane raft,31/2761,81/8025,0.265729287,0.596043613,0.490886517,APP/ARID3C/BAALC/BACE1/BMPR1A/BMPR2/CAV1/CAV2/CAVIN2/CBL/CLN3/DLL1/DPP4/FLOT1/GHSR/GPM6B/HDAC6/JAK2/KCNE3/KIF18A/LYPD4/MAL2/MAPK1/PLSCR1/PRKAR1A/RAB5A/RANGRF/RHOQ/SLC1A1/TGFBR1/TPP1,31
GO:0098857,CC,GO:0098857,membrane microdomain,31/2761,81/8025,0.265729287,0.596043613,0.490886517,APP/ARID3C/BAALC/BACE1/BMPR1A/BMPR2/CAV1/CAV2/CAVIN2/CBL/CLN3/DLL1/DPP4/FLOT1/GHSR/GPM6B/HDAC6/JAK2/KCNE3/KIF18A/LYPD4/MAL2/MAPK1/PLSCR1/PRKAR1A/RAB5A/RANGRF/RHOQ/SLC1A1/TGFBR1/TPP1,31
GO:0036126,CC,GO:0036126,sperm flagellum,15/2761,37/8025,0.266169143,0.596043613,0.490886517,CALM2/CALM3/CCDC181/CCDC34/CFAP58/DEFB1/DEFB1/DNAI2/MNS1/NHERF1/NME5/PRKAR1A/RAP1A/SPAG6/SPATA6,15
GO:0005942,CC,GO:0005942,phosphatidylinositol 3-kinase complex,6/2761,13/8025,0.268361825,0.596043613,0.490886517,BECN1/PIK3C3/PIK3R1/SOCS4/SOCS5/SOCS6,6
GO:0098636,CC,GO:0098636,protein complex involved in cell adhesion,6/2761,13/8025,0.268361825,0.596043613,0.490886517,ITGA2B/ITGA4/ITGAV/ITGB1/ITGB5/ITGB6,6
GO:0016605,CC,GO:0016605,PML body,12/2761,29/8025,0.271468329,0.596043613,0.490886517,CBX5/HIPK3/KLHL20/MTOR/N4BP1/NR2C1/SMC6/SUMO1/TDP2/TOPORS/TP53/TRIM8,12
GO:0016324,CC,GO:0016324,apical plasma membrane,32/2761,84/8025,0.271774062,0.596043613,0.490886517,ACE2/ANXA1/ATP4B/CRB2/CTSK/DLL1/DPEP1/DPP4/DRAM2/DUOX2/FZD3/HIP1R/MARVELD2/MIP/NHERF1/PARD6B/PLD1/RAB18/SLC12A2/SLC17A1/SLC1A1/SLC22A2/SLC23A1/SLC28A1/SLC34A1/SLC39A8/SLC5A10/SLC5A11/SLC5A3/TMEM174/TRPV4/UPK3A,32
GO:0017053,CC,GO:0017053,transcription repressor complex,9/2761,21/8025,0.273976037,0.596043613,0.490886517,ARID4A/CBX5/CTBP2/DR1/GATA1/GMNN/GPS2/H1-0/RBPJ,9
GO:0043073,CC,GO:0043073,germ cell nucleus,9/2761,21/8025,0.273976037,0.596043613,0.490886517,CCNH/CDK1/CDK7/MNAT1/PRKACA/PRKAR2A/SPATA24/STPG4/TOP2A,9
GO:0098685,CC,GO:0098685,Schaffer collateral - CA1 synapse,9/2761,21/8025,0.273976037,0.596043613,0.490886517,ACTB/DTNBP1/MAPK9/PAFAH1B1/RHOB/ROCK1/SLC1A1/SYN1/TAMALIN,9
GO:0097729,CC,GO:0097729,9+2 motile cilium,16/2761,40/8025,0.277377484,0.600250746,0.494351406,CALM2/CALM3/CCDC181/CCDC34/CFAP58/DEFB1/DEFB1/DNAI2/MNS1/NHERF1/NME5/PRKAR1A/RAP1A/RSPH9/SPAG6/SPATA6,16
GO:0019897,CC,GO:0019897,extrinsic component of plasma membrane,17/2761,43/8025,0.287734824,0.619387069,0.5101116,BLK/CTNNB1/DNAJC6/EPN3/FRK/GNA13/GNA14/GNAI3/GNAT1/GNB3/GNG12/GNG13/JAK2/JUP/KRAS/PLG/TRAF6,17
GO:0099023,CC,GO:0099023,vesicle tethering complex,10/2761,24/8025,0.29128715,0.6222048,0.512432212,COG1/EXOC1/EXOC2/RINT1/STX17/TRAPPC6B/VPS11/VPS33A/VPS41/VPS53,10
GO:0005771,CC,GO:0005771,multivesicular body,7/2761,16/8025,0.293739685,0.6222048,0.512432212,APOE/CHMP2B/CHMP4C/PRKAR1A/RAB11A/RAB27A/ZP2,7
GO:1905360,CC,GO:1905360,GTPase complex,7/2761,16/8025,0.293739685,0.6222048,0.512432212,GNA13/GNA14/GNAI3/GNAT1/GNB3/GNG12/GNG13,7
GO:0034703,CC,GO:0034703,cation channel complex,22/2761,57/8025,0.295128927,0.6222048,0.512432212,CACNB1/CACNG4/CACNG6/CACNG7/CALM2/CALM3/CATSPER2/CNGA4/KCND3/KCNE3/KCNG1/KCNIP3/KCNJ2/MCU/MICU1/PKD2/SCN3B/SCNN1B/SCNN1G/SLC5A3/TMEM262/TRPC3,22
GO:0061695,CC,GO:0061695,"transferase complex, transferring phosphorus-containing groups",43/2761,116/8025,0.302558684,0.634597445,0.522638483,BECN1/CCNA2/CCNB1/CCNB2/CCNF/CCNG1/CCNG2/CCNH/CCNI/CCNL1/CDK12/CDK7/CDKN2D/CKS2/GTF2E2/GTF2H3/IGF1R/LEO1/MAP3K7/MNAT1/NUAK1/PEX2/PFKM/PIK3C3/PIK3R1/POLE2/POLR1F/POLR2M/PRKAA2/PRKAB2/PRKAG1/PRKAR1A/PRKAR2A/RPRD1A/RPRD2/SOCS4/SOCS5/SOCS6/TAF4B/TAF9/TAF9B/TGFBR1/TSSK2,43
GO:0062023,CC,GO:0062023,collagen-containing extracellular matrix,24/2761,63/8025,0.309998274,0.646523126,0.532460173,ADAMTS15/ANGPT2/ANGPTL1/ANGPTL5/ANGPTL6/COL10A1/COL14A1/COL5A2/FBLN5/GPC3/HAPLN2/LAMB1/LAMC1/LOX/MEGF9/NTN4/PLSCR1/POSTN/SPARC/SPARCL1/TGFB3/TGFBR3/ZP2/ZP3,24
GO:0005604,CC,GO:0005604,basement membrane,5/2761,11/8025,0.316148228,0.646523126,0.532460173,LAMB1/LAMC1/MEGF9/NTN4/SPARC,5
GO:0005832,CC,GO:0005832,chaperonin-containing T-complex,5/2761,11/8025,0.316148228,0.646523126,0.532460173,BBS10/CCT2/CCT6A/CCT8/HSPD1,5
GO:0031082,CC,GO:0031082,BLOC complex,5/2761,11/8025,0.316148228,0.646523126,0.532460173,BLOC1S6/DTNBP1/HPS3/HPS4/SNAPIN,5
GO:0070971,CC,GO:0070971,endoplasmic reticulum exit site,5/2761,11/8025,0.316148228,0.646523126,0.532460173,CDK1/SAR1B/SPDYA/TMED5/YIPF5,5
GO:0031234,CC,GO:0031234,extrinsic component of cytoplasmic side of plasma membrane,12/2761,30/8025,0.319631022,0.650393472,0.535647693,BLK/FRK/GNA13/GNA14/GNAI3/GNAT1/GNB3/GNG12/GNG13/JAK2/KRAS/TRAF6,12
GO:0000118,CC,GO:0000118,histone deacetylase complex,9/2761,22/8025,0.331237159,0.667369447,0.549628679,ACTR6/BRMS1L/CBX5/HDAC10/HDAC2/HDAC6/ING3/JMJD1C/RBBP7,9
GO:0044306,CC,GO:0044306,neuron projection terminus,9/2761,22/8025,0.331237159,0.667369447,0.549628679,ACTB/GHRH/NTS/PNOC/PRSS12/RAB5A/SCGN/SLC18A2/TPBG,9
GO:0099081,CC,GO:0099081,supramolecular polymer,91/2761,254/8025,0.336184565,0.668421073,0.550494771,ABRAXAS2/ACTA1/APC/APC2/ATAT1/AURKB/BICD1/BIRC5/CALM2/CALM3/CAPN6/CARMIL1/CCT2/CEP162/CFL2/CHMP2B/COL10A1/COL5A2/CSPP1/DST/DYNC2LI1/EML4/FAM110A/FBN1/FXR1/GDPD2/GGPS1/GPER1/HAUS1/HAUS2/HDAC6/HOOK2/HRC/IFFO1/ITGB1BP2/KATNAL1/KIF11/KIF18A/KIF18B/KIF20A/KIF20B/KIF22/KIF2C/KIF3A/KIFC1/KLHL41/KNSTRN/KRT19/KRT20/KRT3/LMNB1/MAP1B/MAP2/MAP4/MAPRE1/MAPRE2/MDM1/MFAP1/MFAP2/MNS1/MX1/MYH7/MYO6/MYOZ1/NCKAP5L/NRP1/PAFAH1B1/PIERCE2/POF1B/POLR2M/PRPH/RAB11A/REEP3/RHOQ/SCN3B/SERP1/SKA1/SKA2/SLAIN2/SPAST/SYNC/TNNI1/TNNI3/TPM1/TPM4/TUBD1/TUBE1/TUBGCP3/UNC45B/VPS11/XIRP2,91
GO:0009295,CC,GO:0009295,nucleoid,6/2761,14/8025,0.341564802,0.668421073,0.550494771,FASTKD2/HSPA9/SUPV3L1/TEFM/TFAM/TRMT10C,6
GO:0031519,CC,GO:0031519,PcG protein complex,6/2761,14/8025,0.341564802,0.668421073,0.550494771,BMI1/CBX7/HDAC2/MTF2/RBBP7/SUZ12,6
GO:0031594,CC,GO:0031594,neuromuscular junction,6/2761,14/8025,0.341564802,0.668421073,0.550494771,APP/DLG3/PRKAR1A/SV2A/SYNC/SYNGR3,6
GO:0042645,CC,GO:0042645,mitochondrial nucleoid,6/2761,14/8025,0.341564802,0.668421073,0.550494771,FASTKD2/HSPA9/SUPV3L1/TEFM/TFAM/TRMT10C,6
GO:0070461,CC,GO:0070461,SAGA-type complex,6/2761,14/8025,0.341564802,0.668421073,0.550494771,DR1/MAP3K7/MBIP/TAF9/TAF9B/ZZZ3,6
GO:0099503,CC,GO:0099503,secretory vesicle,47/2761,129/8025,0.34333193,0.668679806,0.550707857,ANGPTL6/APP/ATP2B1/ATP6AP2/ATP6V0A2/ATP6V1G2/AZU1/BICD1/CALCR/CAV2/CCDC62/CLCN5/CLN3/COPS4/COPS5/DBH/DLD/DNASE1/DTNBP1/DYNLT4/EBAG9/HEXB/HPS4/IQUB/LGI3/LTF/NCSTN/RAB26/RAB27A/RAB3A/RCBTB2/SCAMP1/SCG2/SLC18A2/SLC18B1/SNAP23/SNAPIN/SNX10/SPESP1/SPX/SV2A/SYN1/SYNGR3/SYP/THBS1/TMED10/TSSK2,47
GO:0098797,CC,GO:0098797,plasma membrane protein complex,68/2761,189/8025,0.348321591,0.67518261,0.556063403,AP2B1/ATP1A1/ATP1A2/ATP4B/C8G/CACNB1/CACNG4/CACNG6/CACNG7/CALM2/CALM3/CATSPER2/CAV2/CBL/CLTC/CRB2/CRB3/CTNNB1/DLG3/DUOX2/FCER1G/FLOT1/GJA1/GJA10/GJB1/GNA13/GNA14/GNAI3/GNAT1/GNB3/GNG12/GNG13/GP9/IGF1R/IL18RAP/IL6R/ITGA2B/ITGA4/ITGAV/ITGB1/ITGB5/ITGB6/JAK2/JUP/KCND3/KCNE3/KCNG1/KCNIP3/KCNJ2/LIN7C/NCSTN/PORCN/PTPN6/RAMP1/SCN3B/SGCB/SGCE/SGCZ/SLA-DMA/SLA-DMB/SLC5A3/SSPN/TGFBR1/TLR6/TMED10/TMEM262/TRAF5/TRAF6,68
GO:0099512,CC,GO:0099512,supramolecular fiber,90/2761,253/8025,0.368457711,0.705017967,0.580635052,ABRAXAS2/ACTA1/APC/APC2/ATAT1/AURKB/BICD1/BIRC5/CALM2/CALM3/CAPN6/CARMIL1/CCT2/CEP162/CFL2/CHMP2B/COL5A2/CSPP1/DST/DYNC2LI1/EML4/FAM110A/FBN1/FXR1/GDPD2/GGPS1/GPER1/HAUS1/HAUS2/HDAC6/HOOK2/HRC/IFFO1/ITGB1BP2/KATNAL1/KIF11/KIF18A/KIF18B/KIF20A/KIF20B/KIF22/KIF2C/KIF3A/KIFC1/KLHL41/KNSTRN/KRT19/KRT20/KRT3/LMNB1/MAP1B/MAP2/MAP4/MAPRE1/MAPRE2/MDM1/MFAP1/MFAP2/MNS1/MX1/MYH7/MYO6/MYOZ1/NCKAP5L/NRP1/PAFAH1B1/PIERCE2/POF1B/POLR2M/PRPH/RAB11A/REEP3/RHOQ/SCN3B/SERP1/SKA1/SKA2/SLAIN2/SPAST/SYNC/TNNI1/TNNI3/TPM1/TPM4/TUBD1/TUBE1/TUBGCP3/UNC45B/VPS11/XIRP2,90
